Day,Number of Bicycle Hires,Month,Number of Bicycle Hires.1,Year,Number of Bicycle Hires.2,Month.1,Average Hire Time (mins)
2011-10-04,26131,,,,,,
2011-10-05,26263,,,,,,
2011-10-06,25083,,,,,,
2011-10-07,24529,,,,,,
2011-10-08,18154,,,,,,
2011-10-09,17643,,,,,,
2011-10-10,24198,,,,,,
2011-10-11,26184,,,,,,
2011-10-12,26323,,,,,,
2011-10-13,25149,,,,,,
2011-10-14,26542,,,,,,
2011-10-15,23663,,,,,,
2011-10-16,18530,,,,,,
2011-10-17,23892,,,,,,
2011-10-18,23791,,,,,,
2011-10-19,23259,,,,,,
2011-10-20,23157,,,,,,
2011-10-21,23253,,,,,,
2011-10-22,20482,,,,,,
2011-10-23,18560,,,,,,
2011-10-24,22842,,,,,,
2011-10-25,22771,,,,,,
2011-10-26,17621,,,,,,
2011-10-27,19360,,,,,,
2011-10-28,23158,,,,,,
2011-10-29,18228,,,,,,
2011-10-30,15443,,,,,,
2011-10-31,22999,,,,,,
2011-11-01,22747,,,,,,
2011-11-02,23724,,,,,,
2011-11-03,18676,,,,,,
2011-11-04,18774,,,,,,
2011-11-05,16434,,,,,,
2011-11-06,14317,,,,,,
2011-11-07,20365,,,,,,
2011-11-08,19231,,,,,,
2011-11-09,22542,,,,,,
2011-11-10,23475,,,,,,
2011-11-11,21140,,,,,,
2011-11-12,18933,,,,,,
2011-11-13,17744,,,,,,
2011-11-14,19913,,,,,,
2011-11-15,22245,,,,,,
2011-11-16,21639,,,,,,
2011-11-17,22802,,,,,,
2011-11-18,22461,,,,,,
2011-11-19,18706,,,,,,
2011-11-20,14829,,,,,,
2011-11-21,20824,,,,,,
2011-11-22,20341,,,,,,
2011-11-23,21855,,,,,,
2011-11-24,21870,,,,,,
2011-11-25,21598,,,,,,
2011-11-26,15803,,,,,,
2011-11-27,14362,,,,,,
2011-11-28,20167,,,,,,
2011-11-29,18718,,,,,,
2011-11-30,20956,,,,,,
2011-12-01,16481,,,,,,
2011-12-02,19146,,,,,,
2011-12-03,13776,,,,,,
2011-12-04,10276,,,,,,
2011-12-05,18176,,,,,,
2011-12-06,18943,,,,,,
2011-12-07,19279,,,,,,
2011-12-08,17313,,,,,,
2011-12-09,18421,,,,,,
2011-12-10,11864,,,,,,
2011-12-11,8368,,,,,,
2011-12-12,16554,,,,,,
2011-12-13,17111,,,,,,
2011-12-14,17543,,,,,,
2011-12-15,17081,,,,,,
2011-12-16,11778,,,,,,
2011-12-17,8925,,,,,,
2011-12-18,7485,,,,,,
2011-12-19,11270,,,,,,
2011-12-20,15685,,,,,,
2011-12-21,14158,,,,,,
2011-12-22,15099,,,,,,
2011-12-23,9131,,,,,,
2011-12-24,4890,,,,,,
2011-12-25,17998,,,,,,
2011-12-26,10953,,,,,,
2011-12-27,8076,,,,,,
2011-12-28,9888,,,,,,
2011-12-29,8368,,,,,,
2011-12-30,6900,,,,,,
2011-12-31,7793,,,,,,
2012-01-01,5171,,,,,,
2012-01-02,9091,,,,,,
2012-01-03,10094,,,,,,
2012-01-04,13936,,,,,,
2012-01-05,14191,,,,,,
2012-01-06,17713,,,,,,
2012-01-07,12556,,,,,,
2012-01-08,10487,,,,,,
2012-01-09,19472,,,,,,
2012-01-10,20548,,,,,,
2012-01-11,20958,,,,,,
2012-01-12,20879,,,,,,
2012-01-13,19691,,,,,,
2012-01-14,13843,,,,,,
2012-01-15,12149,,,,,,
2012-01-16,19136,,,,,,
2012-01-17,20170,,,,,,
2012-01-18,17972,,,,,,
2012-01-19,15441,,,,,,
2012-01-20,18703,,,,,,
2012-01-21,13339,,,,,,
2012-01-22,12845,,,,,,
2012-01-23,20193,,,,,,
2012-01-24,13269,,,,,,
2012-01-25,20836,,,,,,
2012-01-26,19515,,,,,,
2012-01-27,20775,,,,,,
2012-01-28,13272,,,,,,
2012-01-29,10949,,,,,,
2012-01-30,18955,,,,,,
2012-01-31,18176,,,,,,
2012-02-01,18208,,,,,,
2012-02-02,16916,,,,,,
2012-02-03,16185,,,,,,
2012-02-04,8348,,,,,,
2012-02-05,3531,,,,,,
2012-02-06,15202,,,,,,
2012-02-07,17722,,,,,,
2012-02-08,16442,,,,,,
2012-02-09,16363,,,,,,
2012-02-10,15117,,,,,,
2012-02-11,9912,,,,,,
2012-02-12,8020,,,,,,
2012-02-13,13172,,,,,,
2012-02-14,17946,,,,,,
2012-02-15,19396,,,,,,
